"","Source","Dest","p"
"1",1,1,0.0152671755725191
"2",1,2,0.0152671755725191
"3",1,3,0.106870229007634
"4",1,4,0.16412213740458
"5",1,5,0.0687022900763359
"6",1,6,0.0534351145038168
"7",1,7,0.0267175572519084
"8",1,8,0.0229007633587786
"9",1,9,0.0534351145038168
"10",2,1,0.00381679389312977
"11",2,3,0.00763358778625954
"12",2,9,0.00381679389312977
"13",3,1,0.0343511450381679
"14",3,2,0.00763358778625954
"15",3,4,0.0419847328244275
"16",3,5,0.0190839694656489
"17",3,6,0.00381679389312977
"18",3,7,0.00381679389312977
"19",3,8,0.0190839694656489
"20",3,9,0.0343511450381679
"21",4,1,0.0572519083969466
"22",4,3,0.00763358778625954
"23",4,5,0.00763358778625954
"24",4,9,0.0114503816793893
"25",5,1,0.00381679389312977
"26",5,4,0.00381679389312977
"27",5,9,0.0190839694656489
"28",6,1,0.0229007633587786
"29",6,3,0.00763358778625954
"30",6,6,0.00763358778625954
"31",6,8,0.00763358778625954
"32",6,9,0.0190839694656489
"33",7,1,0.0152671755725191
"34",7,5,0.00763358778625954
"35",8,1,0.00381679389312977
"36",8,2,0.00381679389312977
"37",8,3,0.00381679389312977
"38",8,6,0.00763358778625954
"39",8,9,0.00381679389312977
"40",9,1,0.0419847328244275
"41",9,3,0.00763358778625954
"42",9,5,0.0190839694656489
"43",9,9,0.00381679389312977
