"","Source","Dest","p"
"1",1,2,0.00490196078431373
"2",1,3,0.176470588235294
"3",1,4,0.0833333333333333
"4",1,5,0.0441176470588235
"5",1,6,0.0294117647058824
"6",1,7,0.00980392156862745
"7",1,8,0.00490196078431373
"8",1,9,0.0147058823529412
"9",2,7,0.00490196078431373
"10",2,9,0.0735294117647059
"11",3,1,0.0441176470588235
"12",3,4,0.00980392156862745
"13",3,5,0.00490196078431373
"14",3,6,0.00980392156862745
"15",3,7,0.00490196078431373
"16",3,9,0.00980392156862745
"17",4,1,0.117647058823529
"18",4,6,0.00490196078431373
"19",5,1,0.0392156862745098
"20",5,3,0.0196078431372549
"21",5,9,0.00980392156862745
"22",6,1,0.0637254901960784
"23",6,3,0.00980392156862745
"24",6,8,0.00490196078431373
"25",6,9,0.00490196078431373
"26",7,1,0.0490196078431373
"27",7,2,0.00490196078431373
"28",8,1,0.0294117647058824
"29",8,3,0.0196078431372549
"30",8,5,0.00490196078431373
"31",8,6,0.00490196078431373
"32",8,7,0.00490196078431373
"33",9,1,0.0196078431372549
"34",9,2,0.0392156862745098
"35",9,3,0.0147058823529412
"36",9,7,0.00490196078431373
