curr,dest,arrival_time,end_time,wait_time
1,4,34.26212012434737,59,24.73787987565263
2,3,78.28471521584316,103,24.715284784156836
1,4,98.85251153475124,138,39.147488465248756
9,5,257.2811120347046,314,56.71888796529538
1,4,304.5718726317746,357,52.428127368225375
3,1,410.3856312381679,447,36.61436876183211
7,5,416.5771680253568,480,63.4228319746432
1,4,481.8093531258662,532,50.19064687413379
6,3,557.234994859997,622,64.76500514000304
6,9,590.2862941387531,642,51.71370586124692
3,4,626.8970041593187,675,48.102995840681274
5,9,636.0790908962837,768,131.92090910371633
4,1,663.4313734054836,800,136.56862659451645
1,4,698.9992172893268,810,111.0007827106732
1,8,731.9786721717521,2728,1996.0213278282479
3,9,732.7853146049591,4253,3520.2146853950408
1,4,735.9155190104667,810,74.08448098953329
6,3,753.0895120473066,2584,1830.9104879526935
8,3,764.6462237609237,2550,1785.3537762390763
7,1,798.8833066130627,1313,514.1166933869373
3,8,809.9347670584565,2199,1389.0652329415434
3,9,848.9305306818163,4253,3404.0694693181836
3,1,860.612694766521,3171,2310.387305233479
1,6,862.2455790890851,1043,180.75442091091486
1,7,874.9463056991597,1062,187.05369430084033
1,6,878.4340369978761,1043,164.5659630021239
3,9,891.7917782822832,4253,3361.2082217177167
1,4,929.8911336995704,1013,83.10886630042955
1,8,935.7603982450374,1414,478.23960175496256
3,7,1051.43494246152,2179,1127.56505753848
1,9,1228.5274005587814,1438,209.47259944121856
1,5,1481.1222005789116,1643,161.8777994210884
1,4,1496.2631025257404,1622,125.73689747425965
1,9,1532.0795409035854,1698,165.92045909641456
1,9,1567.6107676260808,1698,130.38923237391919
1,4,1764.76505620676,1907,142.23494379324006
1,5,2030.0323951925914,2145,114.96760480740863
1,3,2053.855622338829,2103,49.14437766117089
1,3,2054.0326693935804,2103,48.96733060641964
4,1,2171.8506471285937,4072,1900.1493528714063
2,3,2462.2986918802035,3225,762.7013081197965
1,5,2502.843471754674,2682,179.15652824532617
9,1,2524.219194332895,4278,1753.7808056671051
1,3,2541.545635624801,2649,107.45436437519902
4,1,2613.839259967057,4072,1458.160740032943
9,5,2701.270474593062,4357,1655.7295254069381
1,5,2931.2547775661433,4168,1236.7452224338567
1,9,2956.3885071286095,4253,1296.6114928713905
5,1,3000.8757921265974,3123,122.12420787340261
1,9,3041.105075621834,4253,1211.8949243781658
3,6,3042.3701818336476,3447,404.6298181663524
1,3,3082.3510761574557,3225,142.64892384254426
6,1,3129.780786840152,3315,185.2192131598481
1,9,3161.9002844961046,4253,1091.0997155038954
3,5,3165.485923195594,3420,254.51407680440616
3,1,3178.3270335788598,3342,163.67296642114025
4,1,3222.689637276397,4072,849.3103627236028
1,3,3230.255705102779,3367,136.74429489722115
6,3,3230.744857701508,3367,136.25514229849205
6,1,3231.709602759655,3315,83.2903972403451
1,6,3240.6158647062666,3447,206.38413529373338
5,9,3278.6359155713344,3493,214.3640844286656
1,8,3561.3932949339473,4231,669.6067050660527
1,5,3646.847919712589,4168,521.1520802874111
1,9,3681.3437027373593,4253,571.6562972626407
1,7,3722.047582751659,4212,489.95241724834113
1,3,3867.0505142718316,4113,245.94948572816838
1,6,3878.8665990727,4190,311.13340092730004
1,6,3882.22147799292,4374,491.77852200708
1,4,3945.068986823111,4332,386.9310131768889
3,5,3965.8957047726917,4168,202.10429522730828
1,8,4013.9156846839774,4402,388.08431531602264
1,6,4023.945194554845,4374,350.0548054451551
3,9,4028.8412898485003,4386,357.1587101514997
4,6,4041.103333009421,4374,332.896666990579
3,5,4044.917931170682,4311,266.0820688293179
5,8,4465.32923560664,4509,43.670764393359605
1,8,4522.700618188027,4605,82.29938181197303
1,9,4586.303282935317,4698,111.69671706468307
3,9,4671.515124620985,4778,106.48487537901474
1,5,4702.556788915255,4864,161.4432110847447
6,9,4761.007376235146,4855,93.99262376485422
1,3,4788.183055753217,4835,46.81694424678335
1,3,4791.413884412844,4835,43.5861155871562
1,3,4962.186682718071,5000,37.8133172819289
4,1,5109.583512402894,5151,41.416487597106425
3,5,5112.222537768769,5186,73.77746223123086
3,6,5119.344876567671,5198,78.65512343232876
3,9,5406.096654537804,5483,76.90334546219583
1,4,5408.466587165225,5455,46.533412834774936
1,3,5710.0705003278645,5757,46.929499672135535
1,9,5715.717716552362,5843,127.28228344763829
2,8,5726.842840842559,5924,197.15715915744113
1,6,5749.894812241033,5949,199.10518775896708
1,3,5778.852602502541,5896,117.14739749745877
